ID,Category,Severity,Title,Status,Resolution,Implementation,Verification,Evidence_and_impact,Source
1,保持期限・データ寿命,高,期限切れコメントが管理一覧に残る,修正済み。local検証済み,管理一覧のSQLへretained_until > nowを追加した。,src/comments/repository.js,Stage 4 comments。Stage 8 PDF retention。code review,`listSessionComments`のWHERE句に`retained_until > 現在時刻`がない。cron実行前は管理画面/APIから本文を取得できる。,src/comments/repository.js:130-193
2,保持期限・データ寿命,高,期限切れコメントがCSVへ出力される,修正済み。local検証済み,CSV取得SQLへretained_until > nowを追加した。,src/comments/repository.js,Stage 4 comments。code review,`listCommentsForExport`に保持期限条件がない。削除cronが遅れた期間は期限切れ本文をエクスポートできる。,src/comments/repository.js:196-210
3,保持期限・データ寿命,高,期限切れコメントがRealtime reset snapshotへ再掲される,修正済み。local検証済み,reset snapshotのcommentとsource eventを期限内へ限定した。,src/realtime/repository.js,Stage 6 realtime。Stage 8 PDF retention,reset用コメント取得に保持期限条件がない。期限切れ本文が接続時のsnapshotへ入る。,src/realtime/repository.js:241-267
4,保持期限・データ寿命,高,期限切れRealtimeイベントがcatch-upへ残る,修正済み。local検証済み,catch-up eventをexpires_at > nowへ限定した。,src/realtime/repository.js,Stage 6 realtime。code review,イベント差分取得に`expires_at > 現在時刻`がない。削除cron前は期限切れイベントを再送できる。,src/realtime/repository.js:269-278
5,保持期限・データ寿命,中,reset判定が期限切れイベントを基準にする,修正済み。local検証済み,oldest sequence算定から期限切れeventを除外した。,src/realtime/repository.js,Stage 6 realtime。code review,最古sequenceの算定が期限切れイベントも含む。不要なreset又は不正確なcatch-up判定になる。,src/realtime/repository.js:228-236
6,保持期限・データ寿命,中,Realtimeイベント単体取得が期限切れを返す,修正済み。local検証済み,event ID取得とsequence取得へexpires_at > nowを追加した。,src/realtime/repository.js,Stage 6 realtime。code review,`getRealtimeEventById`と`getRealtimeEvent`に期限条件がない。遅延したbroadcast要求で失効イベントを取得できる。,src/realtime/repository.js:170-189
7,保持期限・データ寿命,中,コメント起点のRealtimeイベント検索が期限切れを返す,修正済み。local検証済み,comment起点event検索へexpires_at > nowを追加した。,src/realtime/repository.js,Stage 5 moderation。Stage 6 realtime,`findRealtimeEventForComment`に期限条件がない。DO側の再取得で失効イベントを拾える。,src/realtime/repository.js:192-210
8,保持期限・データ寿命,高,期限切れコメントがidempotency keyを占有し続ける,修正済み。local検証済み,idempotency照会をparticipant単位かつ期限内へ限定した。期限切れkeyは再利用可能にした。,src/comments/repository.js,Stage 4 comments。code review,重複照会は保持期限と参加者を見ない。cron削除まで同一keyの新規投稿を妨げる。,"src/comments/repository.js:10-11,117-118,251-260"
9,保持期限・データ寿命,高,期限切れコメントをモデレーションできる,修正済み。local検証済み,moderation対象取得。履歴。操作SQLを期限内commentへ限定した。,src/moderation/repository.js,Stage 5 moderation。Stage 8 PDF retention,モデレーション取得と履歴取得に保持期限条件がない。期限切れ本文を読めて状態変更もできる。,"src/moderation/repository.js:5-14,147-170,204-211"
10,保持期限・データ寿命,高,AIバックフィルが期限切れコメントを対象にする,修正済み。local検証済み,AI backfill対象へretained_until > nowを追加した。,src/ai/repository.js,Stage 7 AI。code review,due job作成対象に`comments.retained_until`条件がない。,src/ai/repository.js:147-153
11,保持期限・データ寿命,高,期限切れコメント本文をWorkers AIへ送信できる,修正済み。local検証済み,job作成。claim。context load。完了時に期限内commentを再検証した。,src/ai/repository.js; src/ai/processor.js,Stage 7 AI。code review,job context取得とprocessorは削除状態だけを確認する。保持期限切れを停止条件にしていない。,"src/ai/repository.js:77-97,179-216; src/ai/processor.js:58-70"
12,保持期限・データ寿命,高,期限切れコメントの状態変更が新しいRealtimeイベントを生成する,修正済み。local検証済み,期限切れcommentはmoderation更新前に拒否する。Realtime eventも生成されない。,src/moderation/repository.js; src/realtime/repository.js,Stage 5 moderation。Stage 6 realtime,モデレーションは期限切れを許可する。DB triggerは状態変更時に24時間有効な新規イベントを作る。上記の期限フィルタ欠落と結合して再配信される。,migrations-v2 realtime moderation trigger; src/moderation/repository.js:5-14
13,DB組織境界,高,audit_logsのactorをorganizationへ拘束していない,修正済み。local検証済み,audit actorとorganizationのinsert/update triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`actor_user_id`はusers(id)だけを参照する。他組織ユーザーを組織監査ログのactorに保存できる。,migrations-v2 schema: audit_logs
14,DB組織境界,高,comment_eventsのactorをorganizationへ拘束していない,修正済み。local検証済み,comment event actorとorganizationのinsert/update triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,コメント組織と`actor_user_id`の所属一致をDBが保証しない。,migrations-v2 schema: comment_events
15,DB組織境界,高,comment_moderation_actionsのactorをorganizationへ拘束していない,修正済み。local検証済み,moderation action actorとorganizationのinsert/update triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,他組織ユーザーをモデレーターとして保存できる。,migrations-v2 schema: comment_moderation_actions
16,DB組織境界,高,session_moderation_settingsの更新者をorganizationへ拘束していない,修正済み。local検証済み,moderation setting updaterとorganizationのinsert/update triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`updated_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: session_moderation_settings
17,DB組織境界,高,content_filter_termsの作成者をorganizationへ拘束していない,修正済み。local検証済み,filter term creatorとorganizationのinsert/update triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`created_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: content_filter_terms
18,DB組織境界,高,organization_content_filter_policiesの更新者をorganizationへ拘束していない,修正済み。local検証済み,organization filter policy updaterのinsert/update境界triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`updated_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: organization_content_filter_policies
19,DB組織境界,高,session_content_filter_settingsの更新者をorganizationへ拘束していない,修正済み。local検証済み,session filter updaterのinsert/update境界triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`updated_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: session_content_filter_settings
20,DB組織境界,高,content_filter_pack_installsの実行者をorganizationへ拘束していない,修正済み。local検証済み,filter pack installerのinsert/update境界triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`installed_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: content_filter_pack_installs
21,DB組織境界,高,organization_ai_settingsの更新者をorganizationへ拘束していない,修正済み。local検証済み,organization AI setting updaterのinsert/update境界triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`updated_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: organization_ai_settings
22,DB組織境界,高,session_ai_settingsの更新者をorganizationへ拘束していない,修正済み。local検証済み,session AI setting updaterのinsert/update境界triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`updated_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: session_ai_settings
23,DB組織境界,高,organization_originsの作成者をorganizationへ拘束していない,修正済み。local検証済み,organization origin creatorのinsert/update境界triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`created_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: organization_origins
24,DB組織境界,高,pdf_documentsの作成者をorganizationへ拘束していない,修正済み。local検証済み,PDF metadata creatorのinsert/update境界triggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`created_by_user_id`がusers(id)単独参照である。,migrations-v2 schema: pdf_documents
25,DB組織境界,高,招待受諾者を招待organizationへ拘束していない,修正済み。local検証済み,invitation acceptorをorganization membershipへ拘束するtriggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`organization_invitations.accepted_user_id`はusers(id)だけを参照する。,migrations-v2 schema: organization_invitations
26,DB組織境界,高,Realtime ticketのuserをticket organizationへ拘束していない,修正済み。local検証済み,Realtime ticket userをorganization membershipへ拘束するtriggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`user_id`はusers(id)単独参照である。他組織ユーザーと対象sessionを同一ticketへ保存できる。,migrations-v2 schema: realtime_connection_tickets
27,DB組織境界,高,Realtime ticketのauth sessionをticket organization/userへ拘束していない,修正済み。local検証済み,Realtime ticket auth sessionをorganizationとuserへ拘束するtriggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`auth_session_id`はauth_sessions(id)単独参照である。ticketのorg/user列との複合一致がない。,migrations-v2 schema: realtime_connection_tickets
28,DB組織境界,高,Realtime eventのsource commentをevent sessionへ拘束していない,修正済み。local検証済み,Realtime source commentをorganizationとlive sessionへ拘束するtriggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`source_comment_id`はcomments(id)単独参照である。他組織・他sessionのcommentをsourceにできる。,migrations-v2 schema: realtime_events
29,DB組織境界,高,filter matchのtermをcomment organizationへ拘束していない,修正済み。local検証済み,filter match termをcomment organizationへ拘束するtriggerを追加した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`term_id`はcontent_filter_terms(id)単独参照である。他組織辞書語をmatch証跡へ結合できる。,migrations-v2 schema: comment_filter_matches
30,DB組織境界,高,ai_resultsのjobとcomment contextが一致しなくても保存できる,修正済み。local検証済み,AI resultをjobのorganization。session。comment。job_typeへ拘束した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`job_id`と`organization_id/live_session_id/comment_id`が別々のFKである。別組織jobを結果行へ結合できる。,migrations-v2 schema: ai_results
31,DB組織境界,高,translationsのjobとcomment contextが一致しなくても保存できる,修正済み。local検証済み,translationをjob contextとtarget languageへ拘束した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`job_id`とcomment複合FKの相互一致がない。,migrations-v2 schema: translations
32,DB組織境界,高,ai_usage_eventsのjobをorganizationへ拘束していない,修正済み。local検証済み,AI usageをjob organization。job type。attemptへ拘束した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening direct regression。remote verifier。Stage 8.2 preflight,`organization_id`と`job_id`が別々のFKである。他組織jobの利用量を別組織へ計上できる。,migrations-v2 schema: ai_usage_events
33,公開API・Realtime,高,COMMENT_ROOM未設定で非Realtime公開APIまで500になる,修正済み。local検証済み,COMMENT_ROOMの必須判定をmessage POST経路だけへ移した。,src/routes/public-v2.js,Stage 4 comments。boundary verification,`handlePublicV2Api`の先頭で全routeにCOMMENT_ROOMを必須化する。session GETとunderstanding POSTはDOを使わないが停止する。,"src/routes/public-v2.js:12-15,27-40,66-77"
34,公開API・Realtime,中,小文字public codeでは参加者Cookieが次回要求へ送られない,修正済み。local検証済み,participant cookie Pathをpublic session API共通prefixへ変更した。,src/comments/cookies.js,Stage 4 comments。static mirror verification,routeはcodeを大文字化する。Set-Cookie Pathも大文字固定である。RFC 6265のpath-matchは文字列prefix判定なので小文字pathとは一致しない。標準UIは大文字化するが直接API clientで再現する。,src/routes/public-v2.js:137-141; src/comments/cookies.js:17-28
